grass0,grass,10,0,0,1,1
grass1,grass,10,0,0,1,1
grass2,grass,10,0,0,1,1
grass3,grass,10,0,0,1,1
grass4,grass,10,0,0,1,1
tree0,tree,0,0,0,1,0
tree1,tree,0,0,0,1,0
tree2,tree,0,0,0,1,0
water0,water,0,0,1,0,1
water1,water,0,0,1,0,1
water2,water,0,0,1,0,1
water3,water,0,0,1,0,1
water4,water,0,0,1,0,1
water5,water,0,0,1,0,1
water6,water,0,0,1,0,1
water7,water,0,0,1,0,1
beach1,beach1,15,0,0,0,0
beach2,beach2,15,0,0,0,0
beach3,beach3,15,0,0,0,0
beach4,beach4,15,0,0,0,0
beach5,beach5,15,0,0,0,0
beach6,beach6,15,0,0,0,0
beach7,beach7,15,0,0,0,0
beach8,beach8,15,0,0,0,0
beach9,beach9,15,0,0,0,0
beach10,beach10,15,0,0,0,0
beach11,beach11,15,0,0,0,0
beach12,beach12,15,0,0,0,0
beach13,beach13,15,0,0,0,0
beach14,beach14,15,0,0,0,0
beach15,beach15,15,0,0,0,0
woodwall0,woodwall,0,0,0,0,1
woodwall1,woodwall,0,0,0,0,1
woodwall2,woodwall,0,0,0,0,1
woodwall3,woodwall,0,0,0,0,1
opendoor0,door,14,0,0,0,0
roof0,roof,1,0,0,0,1
roof1,roof,1,0,0,0,1
roof2,roof,1,0,0,0,1
roof3,roof,1,0,0,0,1
floor0,floor,8,0,0,0,1
table0,table,20,15,0,0,0
closet0,closet0,0,0,0,0,0
closeddoor0,door,0,0,0,0,0
farmland0,farmland,14,0,0,0,0
firestatue0,firestatue,0,0,1,0,0
firestatue1,firestatue,0,0,1,0,0
firestatue2,firestatue,0,0,1,0,0
hwall0,hwall,0,0,0,0,0
hwall1,hwall,0,0,0,0,0
hwall2,hwall,0,0,0,0,0
hwall3,hwall,0,0,0,0,0
hwall4,hwall,0,0,0,0,0
hwall5,hwall,0,0,0,0,0
hwall6,hwall,0,0,0,0,0
hwall7,hwall,0,0,0,0,0
hwall8,hwall,0,0,0,0,0
hwall9,hwall,0,0,0,0,0
hwall10,hwall,0,0,0,0,0
openhgate0,door,10,0,0,0,0
closedhgate0,door,0,0,0,0,0
statue0,statue,0,0,0,0,0
vhwall0,vhwall,0,0,0,0,0
vhwall1,vhwall,0,0,0,0,0
vhwall2,vhwall,0,0,0,0,0
vhwall3,vhwall,0,0,0,0,0
vhwall4,vhwall,0,0,0,0,0
vhwall5,vhwall,0,0,0,0,0
openmoat0,door,20,0,0,0,0
closedmoat0,door,0,0,0,0,0
road1,road1,7,0,0,1,1
road2,road2,7,0,0,1,1
road3,road3,7,0,0,1,1
road4,road4,7,0,0,1,1
road5,road5,7,0,0,1,1
road6,road6,7,0,0,1,1
road7,road7,7,0,0,1,1
road8,road8,7,0,0,1,1
road9,road9,7,0,0,1,1
road10,road10,7,0,0,1,1
road11,road11,7,0,0,1,1
road12,road12,7,0,0,1,1
road13,road13,7,0,0,1,1
road14,road14,7,0,0,1,1
road15,road15,7,0,0,1,1
